Исполнитель,Название песни,Текст
Смешарики,как приятно заболеть,как приятно заболеть все начнут тебя жалеть разноцветные таблетки склянки баночки пипетки ни хороший ни плохой просто бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной как приятно заболеть все начнут тебя жалеть шоколадное варенье эффективное леченье на здоровье дорогой ты же бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной как приятно заболеть будут все тебя терпеть и выходит от болезней все становятся любезней и качают головой ах ты бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной
Смешарики,на круглой планете,плывет плывет по небу желтый круг по небу плывет плывет и светит всем вокруг а круглую ночь с небес глядит холодная луна и тоже круглая она р бежит бежит по лесу круглый еж бежит и поет что он и сам на круг похож на круглой спине его большое яблоко одно и тоже круглое оно р припев на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она не велика сидит сидит на крыше круглый кот сидит и поет поет и гладит свой живот глаза у кота горят горят как желтые огни и тоже круглые они р а я стою и песенку пою и сам о себе сейчас я чтото узнаю и кажется мне что все и кот и еж и даже я большая круглая семья р припев на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она не велика на круглой планете есть место всем на свете хотя она не велика и тоже круглая она и тоже круглые они и тоже круглое оно и тоже круглые
Смешарики,так хочется спать,ооо ооо ооо  еще вчера я был угрюмый малый сегодня я большой весельчак теперь меня и мама б не узнала а папа б сразу вызвал врача теперь всегда я буду веселиться ко мне с небес сошла благодать такое может разве что присниться как жаль что мне так хочется спать шубиду нельзя прожить как будто понарошку и думать будто все рассчитал ведь чтото точно свалится на бошку и ты поймешь что попросту спал и вот тогда ну прямо как с кровати захочешь сразу все наверстать но вот беда но надо ж как некстати чегото очень хочется спать шубиду фафафуфафафуфафафуфа ооу фафуфа мы спим мы спам мы дрыхнем под подушкой и по ночам сопим в унисон вставай пора расстаться с раскладушкой что спать когда вся жизнь это сон теперь всегда мы будем веселиться на нас с небес сошла благодать такое может разве что присниться как жаль что мне так хочется спать дада это мечта как жаль что мне так хочется спать веселиться как жаль что мне так хочется спать веселиться как жаль что мне так хочется шубиду
Смешарики,противоположности,противоположности белое не черное белое не черное а черное не белое левое не правое а правое не левое круглое не блинное а блинное не длинное там парлампарлампаумпа и наоборот светлое не темное наглое не кроткое если длинношее точно не короткое ну а если лысое то не белобрысое там парлампарлампаумпа и наоборот режут нас как ножницы противоположности и от них упрятаться никакой возможности никакой возможности никакой возможности хоть придумай тысячу мер предосторожности белое не черное а черное не белое белое не черное а черное не белое
Смешарики,славный город кострома,славный город кострома в закромах полно ума коль ума куда кому надо ехать в кострому говорят что в костроме всякий при своем уме далеко ль до костромы не дадите ли в займы муму муму я поеду в кострому муму муму я поеду в кострому добрались до костромы пораскинули умы славный город кострома надо глянуть в закрома поглядели в закрома а ума то там нема что бы было по уму надо думать самому не поможет кострома если не дал бог ума если не дал бог ума не поможет кострома
Смешарики,мне говорят что я балбес что я вчера с березы слез,мне говорят что я балбес что я вчера с березы слез не человек а динамит и подо мной земля горит и в общем правду говорят но в этом я не виноват а виноватто в этом тот кто у меня внутри живет он у меня внутри живет он мне покоя не дает он удивительный хитрец он баламут и обормот он все творит исподтишка да так что кружится башка он баламут и обормот он на слабо меня берет он у меня внутри живет он мне покоя не дает он удивительный хитрец он баламут и обормот он все творит исподтишка да так что кружится башка он баламут и обормот он на слабо меня берет я мог бы по другому жить я мог бы лобзиком пилить и даже боже мой как знать я мог бы марки собирать и даже сидя за столом листал бы старый книжный том и все соседи наконец сказали быты молодец он у меня внутри живет он мне покоя не дает он удивительный хитрец он баламут и обормот он все творит исподтишка да так что кружится башка он баламут и обормот он на слабо меня берет он у меня внутри живет и он покоя не дает он удивительный хитрец он баламут и обормот он все творит исподтишка да так что кружится башка он баламут и обормот он на слабо меня берет
Смешарики,дружба,если друг не смеется ты включи ему солнце ты включи ему звезды это просто ты исправь ошибку превращая в улыбку все грустинки и слезы это просто воскресенье суббота дружба это не работа дружба это не работа припев есть друзья а для них у друзей нет выходных есть друзья а для них у друзей нет выходных если свалится счастье подели его на части и раздай всем друзьям это просто а когда будет надо все друзья будут рядом чтоб включить тебе солнце или звезды воскресенье суббота дружба это не работа дружба это не работа припев есть друзья а для них у друзей нет выходных есть друзья а для них у друзей нет выходных если каждый друг по кругу другу протянет руку то будет видно в иллюминатор дружба это экватор если каждый друг планеты другу ромашкой помашет то станет ясно дружба это планета ромашек воскресенье суббота дружба это не работа дружба это не работа припев есть друзья а для них у друзей нет выходных есть друзья а для них у друзей нет выходных
Смешарики,наш шарик еще слишком молод,из серии лед плюс семь минус семь плюс пятнадцать минус двадцать то капель то метель сколько можно издеваться обещали мне мороз и стужу а в итоге нате села в лужу припев наш шарик еще слишком молод его бросает то в жар то в холод то в жар то в холод то в холод то в жар кружится шар повторяется два раза привет лета нет по грибы беру салазки дедушка гидромет мне рассказывает сказки мол обещали мне мороз и стужу а в итоге нате села в лужу припев
Смешарики,про меня,я пробегаю по дороге я задираю к верху ноги поберегитесь недотроги бежит отчаянный атлет не остается без вниманья мое лихое пробеганье и регулируя дыханье я посылаю всем привет как хорошо придумал кто то что если думать неохота и опостылела работа и в голове сплошной кишмиш ты можешь ноги задирая и на приличья невзирая бежать вперед не разбирая куда ты собственно бежишь и дело тут не в результате призы и прочее некстати их можно вешать у кровати или пожертвовать в музей куда дороже ощущенье упругой мышцы сокращение ну и конечно восхищенье коллег знакомых и друзей мудрые боги выдумали ноооги мудрые боги выдумали ноооги
Смешарики,вести бу,кто же кто же виноват что подводит регулярно самый главный аппарат вестибубилюбибу вестибубилюбибу аппарат вестибулярный я стою на голове напеваю ваю эту песню не громко не пойму где право ле лево право все теперь голововоломка мир не сложно изменить встань на голову и вот он другой важно чтобы голова всегда была под рукой кто же кто же виноват что подводит регулярно самый главный аппарат вестибубилюбибу вестибубилюбибу аппарат вестибулярный что такое голова это легкий шарик им едят и смеются в голове лежат слова хрупкие как стекла режут колют и бьются жизнь бывает не права только что поделать не купишь другой важно чтобы голова всегда была под рукой кто же кто же виноват что подводит регулярно самый главный аппарат вестибубилюбибу вестибубилюбибу аппарат вестибулярный
Смешарики,два волшебника,нюша и бараш белое не черное а черное не белое левое не правое а правое не левое круглое не блинное а блинное не длинное папарапампампампампампам и наоборот светлое не темное наглое не кроткое если длинношеее точно не короткое ну а если лысое то не белобрысое папарапампампампампампам и наоборот режут нас как ножницы противоположности где от них упрятаться никакой возможности никакой возможности никакой возможности хоть придумай тысячу ты предосторожностей белое не черное черное не белое белое не черное черное не белое
Смешарики,песенка о моде,нет не стоит невинных слабостей стесняться да признаться все любят модно одеваться и как пташки летят чулочки да рубашки застежки запонки сережки блузки кофточки сапожки и зеленые шнурки как пережить мне эту боль мой новый смокинг съела моль моль моль моль лучше быть голодным лишь бы только модным да не скрою все люди разного покрою каждый хочет примерить чтонибудь такое и как пташки летят чулочки да рубашки береты галстуки манжеты кардиганы и жакеты и зеленые шнурки как пережить мне эту боль мой новый смокинг съела моль моль моль моль лучше быть голодным лишь бы только модным ах одежда тебя не ценит лишь невежда ты скрываешь все наши тайны и надежды и как пташки летят чулочки да рубашки гамаши шарфы панталоны фраки френчи ботильоны муфты бриджи капюшоны балахоны и бадлоны пледы бурки мокасины робы треники лосины лапти валенки рубахи кринолины и папахи зипуны кашне пижамы сарафаны и кафтаны кепки юбки шорты шляпки душегрейки тапки тряпки и зеленые шнурки как пережить мне эту боль мой новый смокинг съела моль моль моль моль лучше быть голодным лишь бы только модным
Смешарики,стихия,когда стихия на пути и даже на пути запомни правило одно запомни правило одно ты с нею не шути стихи стихи стихия бедадададада дела у нас плохие дададададада дада когда стихия над тобой и даже под тобой в три глотки крикнуть караул в три глотки крикнуть караул захочет вам любой стихи стихи стихия бедадададада дела у нас плохие дададададада дада когда стихия позади и даже впереди как на батуте сердце вдруг как на батуте сердце вдруг запрыгает в груди стихи стихи стихия бедадададада дела у нас плохие дададададада дада огонь лавина и вода расступятся вокруг когда когда когда когда когда когда когда когда когда с тобой надежный друг
Смешарики,баламут и обормот из серии верь в меня ежик,мне говорят что я балбес что я вчера с берзы слез не человек а динамит и подо мной земля горит но в общем правду говорят но этом я не виноват а виноватто в этом тот кто у меня внутри живет он у меня внутри живет он мне покоя не дает он удивительный хитрец он баламут и обормот он все творит исподтишка да так что кружится башка он баламут и обормот он на слабо меня берет я мог бы по другому жить я мог бы лобзиком пилить и даже боже мой как знать я мог бы марки собирать и даже сидя за столом листал бы старый книжный том и все соседи наконец сказали быты молодец он у меня внутри живет он мне покоя не дает он удивительный хитрец он баламут и обормот он все творит исподтишка да так что кружится башка он баламут и обормот он на слабо меня берет
Смешарики,право на одиночество,пусть незатейливый мотив прорвет земную тишь ведь ты и молод и красив совсем один сидишь один идешь ты в магазин и это скверный знак художник может быть один а человек никак один банан один стакан и тапочки одни как полусонный караван идут за днями дни как будто ктото карантин назначил и ушел художник может быть один емуто хорошо не стоит бегать по врачам отыскивать рецепт не станет легче по ночам от витамина це и вот идешь ты в магазин слегка сбивая шаг художник может быть один а человек никак
Смешарики,колыбельная для ежика,спи ежик мой добрый ежик мой друг спи спокойно пусть тебе снятся самые хорошие сны хоть ты и никогда не спал раньше всю зиму я буду один все время думать о тебе пока ты спишь мой лучший друг а когда ты весной наконец проснешься ты придешь на могилу своего друга который этой зимой сдох от скуки и в полном одиночестве как же я без тебя
Смешарики,бедненький больной,как приятно заболеть все начнут тебя жалеть разноцветные таблетки склянки баночки пипетки ни хороший ни плохой просто бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной как приятно заболеть все начнут тебя жалеть шоколадное печенье эффективное леченье на здоровье дорогой ты же бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной как приятно заболеть будут все тебя терпеть и выходит от болезней все становятся любезней и качают головой ах ты бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной ни хороший ни плохой просто бедненький больной бедненький больной
Смешарики,наш шарик еще слишком молод,плюс семь минус семь плюс пятнадцать минус двадцать то капель то метель сколько можно издеваться обещали мне мороз и стужу а в итоге нате села в лужу наш шарик еще слишком молод его бросает то в жар то в холод то в жар то в холод то в холод то в жар кружится шар наш шарик еще слишком молод его бросает то в жар то в холод то в жар то в холод то в холод то в жар кружится шар кружится кружится кружится кружится кружится кружится кружится кружится шар привет лета нет по грибы беру салазки дедушка гидромет мне рассказывает сказки мол обещали мне мороз и стужу а в итоге нате села в лужу наш шарик еще слишком молод его бросает то в жар то в холод то в жар то в холод то в холод то в жар кружится шар наш шарик еще слишком молод его бросает то в жар то в холод то в жар то в холод то в холод то в жар кружится шар кружится кружится кружится кружится шар
Смешарики,мы дойдем до тебя город омск,смотрят сосны сверху строго под ногами даль и ширь а у нас лежит дорога прямиком в сибирь эх если ноги не сотрутся и не заржавеет мозг мы найдем доплывем доползем до тебя город омск город омск город омск ктото пьет компот из рога ктото в чай кладет имбирь ну а нам легла дорога прямиком в сибирь если ноги не сотрутся и не заржавеет мозг мы найдем доплывем доползем до тебя город омск город омск город омск до тебя город омск город омск город омск до тебя город омск город омск город омск омск омск омск пусть осталось сил немного это братцы не беда лишь бы вывела дорога сами знаете куда если ноги не сотрутся и не заржавеет мозг мы найдем доплывем доползем до тебя город омск город омск город омск если ноги не сотрутся и не заржавеет мозг мы найдем доплывем доползем до тебя город омск город омск город омск до тебя город омск город омск город омск до тебя город омск город омск город омск омск омск омск
Смешарики,круглая песня, куплет плывет плывет по небу желтый круг по небу плывет плывет и светит всем вокруг а в круглую ночь с небес глядит холодная луна и тоже круглая она р бежит бежит по лесу круглый еж бежит и поет что он и сам на круг похож на круглой спине его большое яблоко одно и тоже круглое оно р припев на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика куплет сидит сидит на крыше круглый кот сидит и поет поет и гладит свой живот глаза у кота горят горят как желтые огни и тоже круглые они р а я стою и песенку пою и сам о себе сейчас я чтото узнаю и кажется мне что все и кот и еж и даже я большая круглая семья р припев на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика на круглой планете есть место всем на свете хотя она невелика и тоже круглая она и тоже круглые они и тоже круглое оно и тоже круглые
Смешарики,дружба не работа,если друг не смеется ты включи ему солнце ты включи ему звезды это просто ты исправь ошибку превращая в улыбку все грустинки и слезы это просто воскресенье суббота дружба это не работа дружба это не работа припев есть друзья а для них у друзей нет выходных есть друзья а для них у друзей нет выходных если свалится счастье подели его на части и раздай всем друзьям это просто а когда будет надо все друзья будут рядом чтоб включить тебе солнце или звезды воскресенье суббота дружба это не работа дружба это не работа припев есть друзья а для них у друзей нет выходных есть друзья а для них у друзей нет выходных если каждый друг по кругу другу протянет руку то будет видно в иллюминатор дружба это экватор если каждый друг планеты другу ромашкой помашет то станет ясно дружба это планета ромашек
Смешарики,круглая планета,плывет плывет по небу желтый круг по небу плывет плывет и светит всем вокруг а в круглую ночь с небес глядит холодная луна и тоже круглая она и тоже круглая она бежит бежит по лесу круглый еж бежит и поет что он и сам на круг похож на круглой спине его большое яблоко одно и тоже круглое оно и тоже круглое оно на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика сидит сидит на крыше круглый кот сидит и поет поет и гладит свой живот глаза у кота горят горят как желтые огни и тоже круглые они и тоже круглые они а я стою и песенку пою и сам о себе сейчас я чтото узнаю и кажется мне что все и кот и еж и даже я большая круглая семья такая круглая семья на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика на круглой планете гуляет круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика
Смешарики,круглая песенка,плывет плывет по небу желтый круг по небу плывет плывет и светит всем вокруг а в круглую ночь с небес глядит холодная луна и тоже круглая она и тоже круглая она бежит бежит по лесу круглый еж бежит и поет что он и сам на круг похож на круглой спине его большое яблоко одно и тоже круглое оно и тоже круглое оно на круглой планете летает круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика сидит сидит на крыше круглый кот сидит и поет поет и гладит свой живот глаза у кота горят горят как желтые огни и тоже круглые они и тоже круглые они а я стою и песенку пою и сам о себе сейчас я чтото узнаю и кажется мне что все и кот и еж и даже я большая круглая семья такая круглая семья на круглой планете летает круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика на круглой планете летает круглый ветер по кругу гонит облака на круглой планете есть место всем на свете хотя она невелика
ДДТ,что такое школа переделанные слова,что такое школа это стены может это завуч и директор школа это здание и мы его наполним добротой заботой и любовью припев школа наша лучшая ты школа наша мир доброты счастье знания здесь получать в спорте всех побеждать что такое школа это дети школа это разные науки школа это дом для многих поколений всех кто плакал школу покидая припев школа наша лучшая ты школа наша мир доброты счастье знания здесь получать в спорте всех побеждать что такое школа это знания классные часы уроки танцы школу никогда мы не забываем с нею мы не сможем распрощаться припев школа наша лучшая ты школа наша мир доброты счастье знания здесь получать в спорте всех побеждать
ДДТ,весна весна,плюс один ноль плюс два почернела зима расцветает январь язвой неба хаха с юга ветер приполз неспособный на бег пожирает дохляк пересоленный снег а за ним как чума весна оххахаха а на невский слетелася стая сапог а на невском такая стоит кутерьма а над невским в глазок наблюдает тюрьма состоящая из одиноких мужчин ни нашедших причин дарового тепла непонятна весьма весна эххахаха а в каналах вода отражает мосты и обрывы дворцов и колонн леса и стога куполов и курятниккиоск раздающий за так связки вяленых роз а культура вспотев в целлофане дождей объявляет для всех ночи белых ножей и боимся все мы что дойдем до войны виновата она весна оххахаха эй ленинград петербург петроградище марсово пастбище зимнее кладбище отпрыск россии на мать не похожий бледный худой евроглазый прохожий герр ленинград до пупа затоваренный жареный пареный дареный краденый мсье ленинград революцией меченный мебель паливший дом перекалеченный с окнами бабками львами титанами липами сфинксами медью аврорами сэр ленинград вы теплом избалованы вы в январе уже перецелованы жадной весной ваши с ней откровения вскрыли мне вены тоски и сомнения пан ленинград я влюбился без памяти в ваши стальные глаза напои до пьяна весна аххахаха
ДДТ,раскинулось море широко проект,текст песни раскинулось море широко и волны бушуют вдали товарищ мы едем далеко подальше от нашей земли не слышно на палубе песен и черное море шумит а берег суровый и тесен как вспомнишь так сердце болит там русские спят адмиралы и дремлют матросы вокруг на них вырастают кораллы на пальцах раскинутых рук когда засыпает природа и яркая светит луна герои погибшего флота встают пробуждаясь от сна они начинают беседу со дна разговоры слышны о жизни матросской нелегкой всю ночь говорят моряки на баке уж восемь пробило товарища надо сменить по трапу едва он спустился механик кричит шевелись товарищ я вахты не в силах стоять сказал кочегар кочегару огни в моих топках совсем не горят в котлах не сдержать мне уж пару нет ветра сегодня нет мочи стоять согрелась вода душно жарко термометр поднялся аж на сорок пять без воздуха вся кочегарка пойди заяви всем что я заболел и вахту не кончив бросаю весь потом истек от жары изнемог работать нет сил умираю товарищ ушел он лопату схватил собравши последние силы дверь топки привычным толчком отворил и пламя его озарило лицо его плечи открытая грудь пот с них струившийся градом но если б кто мог в них туда заглянуть назвал кочегарку бы адом котлы паровые зловеще шумят от силы паров содрогаясь как тысячи змей пары же шипят из труб коегде пробиваясь а он извиваясь пред жарким огнем лопатой бросал ловко уголь внизу было мрачно луч солнца и днем не может проникнуть в тот угол окончив кидать он напился воды воды опресненной нечистой с лица его падал пот сажи следы услышал он речь машиниста ты вахты не кончив не смеешь бросать механик тобой недоволен ты к доктору должен пойти и сказать лекарство он даст если болен за поры он слабо хватая рукой вверх он по трапу забрался
ДДТ,это все минус,это все повзрослевшие лица друзей отзвенел уж последний звонок скоро выйдем в широкую дверь мы за школьный порог эта школа учила нас жить нас учила смеяться и петь и друзей находить и любить и невзгоды терпеть припев раза это все что останется после меня это все что возьму я с собой вспомним мы как пришли в первый класс как учитель быль добр и строг как сейчас помнит каждый из нас в жизни первый урок не вернуть наше детство уже мы уходим в туманную даль затаится гдето в душе в уголочке печаль припев раза разбросает нас жизнь как всегда как снежинки в зимний рассвет но уже не забыть никогда эти наши лет и не плачь все обиды прости расстаемся мы не навсегда нам свою дорогу нести мы вернемся сюда припев
ДДТ,это все что останется,побледневшие листья окна зарастают прозрачной водой у воды нет ни смерти ни дна я прощаюсь с тобой горсть тепла после долгой зимы донесем пять минут до утра доживем наше море вины поглощает времядыра это все что останется после меня это все что возьму я с собой с нами память сидит у стола а в руке ее пламя свечи ты такой хорошей была посмотри на меня не молчи крики чайки на белой стене окольцованы черной луной нарисуй чтонибудь на окне и шепни на прощанье рекой это все что останется после меня это все что возьму я с собой это все что останется после меня это все что возьму я с собой две мечты да печали стакан мы воскреснув допили до дна я не знаю зачем тебе дан правит мною дорогалуна ты не плачь если можешь прости жизнь не сахар а смерть нам не чай мне свою дорогу нести до свидания друг и прощай это все что останется после меня это все что возьму я с собой это все что останется после меня это все что возьму я с собой
ДДТ,это все моя колыбельная, побледневшие листья окна зарастают прозрачной водой у воды нет ни смерти ни дна  я прощаюсь с тобой горсть тепла после долгой зимы донесем пять минут до утра доживем наше море вины поглощает время дыра припев   это все что останется после меня  это все что возьму я с собой с нами память сидит у стола а в руке ее пламя свечи ты такой хорошей была посмотри на меня не молчи крики чайки на белой стене окольцованы черной луной нарисуй чтонибудь на окне и шепни на прощанье рекой припев две мечты да печали стакан мы воскреснув допили до дна я не знаю зачем тебе дан правит мною дорога луна и не плачь если можешь прости жизнь не сахар а смерть нам не чай мне свою дорогу нести до свидания друг и прощай припев
ДДТ,это все что останется после меня,побледневшие листья окна зарастают прозрачной водой у воды нет ни смерти ни дна я прощаюсь с тобой горсть тепла после долгой зимы донесем пять минут до утра доживем наше море вины поглощает времядыра это все что останется после меня это все что возьму я с собой с нами память сидит у стола а в руке ее пламя свечи ты такою хорошей была посмотри на меня не молчи крики чайки на белой стене окольцованы черной луной нарисуй чтонибудь на окне и шепни на прощанье рекой это все что останется после меня это все что возьму я с собой это все что останется после меня это все что возьму я с собой две мечты да печали стакан мы воскреснув допили до дна я не знаю зачем тебе дан правит мною дорогалуна ты не плачь если можешь прости жизнь не сахар а смерть нам не чай мне свою дорогу нести до свидания друг и прощай это все что останется после меня это все что возьму я с собой это все что останется после меня это все что возьму я с собой оуооо
